Time (s),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Pitch (radians),Roll (radians),Yaw (radians)
15.981138944625854,0.9852459288819436,0.10527533207871503,0.13493520413783147,-6.578030140094558e-18,-0.0012928462820127606,-0.0046542431227862835,0.9337587310001254,0.2089615839981361,0.27526425581852043,-0.029046546018517954
0.0071239471435546875,0.9852264089809356,0.10506661938238149,0.13524032423308324,6.442952027784994e-05,-0.0029124021530151367,-0.0019415507558733225,0.9423907959135249,0.2085548110483607,0.2758585737941944,-0.028922186984442207
0.06073498725891113,0.9852083930359509,0.10495716957529903,0.13545657030173444,-0.00014838934498898155,0.00118253193795681,-0.0018526131752878428,0.9429440390085801,0.20827160760895688,0.27633656355640746,-0.029365387518312677
0.08858597278594971,0.9851919409873383,0.10485849080686796,0.13565054405757768,-0.0005756034955959376,-0.006022890564054251,0.007096535060554743,0.947622608859092,0.2079508364916298,0.2768138246772395,-0.030238345242278492
0.14045298099517822,0.9852269220985101,0.10481907025306392,0.1354267506803185,-0.0006174149734500478,-0.003375002881512046,0.004767619073390961,0.9398895516060293,0.20786763736514707,0.27635970227551093,-0.030263189317675666
0.22008800506591797,0.9851873535561906,0.1046783388363821,0.13582444692730453,-9.359046474512464e-05,0.0008812737069092691,-0.0068452563136816025,0.9409657925716601,0.20772069291083395,0.2770553295105205,-0.029253083983844887
0.24866902828216553,0.9851421994529631,0.10451226402461483,0.13627733006083168,-0.0007527573252725301,0.0012412602081894875,-0.003331896383315325,0.9455650853924453,0.20719296562951178,0.2781051712671612,-0.030628206089227287
0.29830503463745117,0.9851118659995143,0.10442984823644928,0.13655167815376448,-0.0016208195365796348,0.002357921563088894,0.005760197062045336,0.9444680309388787,0.2067779043808158,0.2788384615666488,-0.032409474068490166
0.3274199962615967,0.9851019059040464,0.10438465874998014,0.13665338607963787,-0.001949712453979908,0.003973927348852158,0.0088652977719903,0.9410271520609967,0.20659262997513317,0.27911024305236265,-0.033079691448849494
0.38493597507476807,0.9851253683102286,0.10401980346170586,0.13676713238663973,-0.0015977278270511122,0.0007970522274263203,0.004823443479835987,0.9457272454164922,0.20596112026199628,0.27923802305333334,-0.032288824830332616
0.4170719385147095,0.9851725692793876,0.10371377299942919,0.13666397610014305,-0.001135338002738978,0.0008593307575210929,-0.0024736332707107067,0.9434866602532566,0.20548462031021175,0.2789043025307388,-0.03124723116143784
0.48230600357055664,0.9852158868241123,0.10340675836990888,0.13658517019622224,-0.0010617278344808535,0.0007051305146887898,-0.0002372432209085673,0.9428221296984702,0.2048966059618599,0.2786999546889148,-0.03099288780510023
0.5468469858169556,0.9852071542896068,0.10349104262297654,0.13658332876921264,-0.0011569319505618048,0.0,0.0,0.9412692189216614,0.20503782828815212,0.2787230927714105,-0.031208615300746975
0.5764089822769165,0.9852075218599805,0.10346300541365676,0.1366013122874736,-0.0012425991173893888,0.0009328597225248814,0.0011408835416659713,0.9441552008502185,0.20495753203682446,0.2787748304348963,-0.031376564121358516
0.6185979843139648,0.9852328803989677,0.10344103811041792,0.13643409333992287,-0.0013365493700367072,0.0013918684562668204,-0.0019206563010811806,0.9416809400427155,0.20489292119220795,0.27844889996974986,-0.031523897435357724
0.6480720043182373,0.985252491883425,0.1034666197724758,0.13627256664639434,-0.0013807817995612971,-0.003911091014742851,0.01003243587911129,0.9473424926400185,0.20493667918328667,0.2781288796672259,-0.031586281768385654
0.7011129856109619,0.9852721849979834,0.10379734043635723,0.1358815521594313,-0.0009444371501812827,0.006742822006344795,-0.0022399784065783024,0.9342779940925539,0.20572875527772364,0.2772679662501362,-0.030721925964642197
0.7281680107116699,0.9850903908009032,0.10527522943252915,0.1360656191180863,-0.0004840365518374327,-0.0017885570414364338,-0.0001447172835469246,0.951031306758523,0.2087932528607926,0.2776842952153092,-0.030264120797847283
0.7999429702758789,0.9843650574614922,0.11452951996372135,0.13382149981677272,0.00032072876366722245,-0.0017589554190635681,0.010042882524430752,0.9434736026450992,0.22752146119085914,0.2737589920854995,-0.030820645152469035
0.8948370218276978,0.9829412155415248,0.1299543318077778,0.1301321168915848,0.001983340075637406,0.003269313368946314,0.03312718868255615,0.9291053232736886,0.25887285814788974,0.26728032455948314,-0.03095984102199487
0.937283992767334,0.9820128302452376,0.1380683655082105,0.12874250276936175,0.0036333037545914475,0.008377737365663052,0.0263359397649765,0.9189043212682009,0.2755802453914635,0.26480997432841863,-0.029533122527872532
0.9733269214630127,0.9807942390957917,0.14724938095936496,0.12777494345609444,0.005810160318019685,-0.005068046040832996,0.006035958416759968,0.9410893656313419,0.2945690350224468,0.2631625298662346,-0.027416611938819738
1.0173829793930054,0.9789945823045091,0.1602140935167204,0.12582624681318919,0.008291372505748858,0.005623126868158579,0.0185103677213192,0.914140123873949,0.32128282427735744,0.2597640227696769,-0.025385387861657338
1.0480350255966187,0.9764140906112013,0.17655015794703025,0.12374296090247987,0.011541846031675785,-0.01871606521308422,-0.025831565260887146,0.9418237134814262,0.3550407438153922,0.25616831319949745,-0.022563462188668806
1.121641993522644,0.9663504385947671,0.2301791435717792,0.11292707443136926,0.02078043271116803,-0.0018620443297550082,-0.0015890707727521658,0.8886082880198956,0.4662735675730852,0.235806889409634,-0.013238066449265987
1.2161749601364136,0.9516005002330248,0.2894499108156117,0.09883952956309582,0.030099077209169843,0.00847680028527975,0.021931203082203865,0.8061112463474274,0.5905660853779425,0.20696668896036174,7.994916616570137e-05
