Time (s),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Pitch (radians),Roll (radians),Yaw (radians)
1.0549839735031128,0.9899719491660927,0.14070293062630126,-0.01257521808164371,8.634592924655262e-18,0.0004186730948276818,0.0001360864844173193,0.9628159147687256,0.2823193310350189,-0.02592743420932669,0.0036846150266173303
1.0866639614105225,0.9898957753192421,0.14116494154311993,-0.01335370249414696,0.000726835756403193,-0.003239195328205824,-0.0010850593680515885,0.9631376571487635,0.283229308424681,-0.027751865031339897,0.005425313487665856
1.115610957145691,0.989750646837679,0.14212493096839088,-0.013828721771349193,0.0016573819792861366,-0.0015389265026897192,0.0053083766251802444,0.9605888145742938,0.2851387959806968,-0.029020775262312972,0.007515110436097212
1.1603559255599976,0.9896146258051994,0.143025593147715,-0.014145600793607731,0.0025195393084340378,-0.0064160702750086784,0.0029567948076874018,0.957426251610741,0.28693008695376876,-0.02994670192545456,0.009418291443337142
1.1905399560928345,0.9895721378846133,0.14326845690578024,-0.014513229818966203,0.003215075945503661,-0.006816392298787832,0.0035447017289698124,0.9621946052648127,0.2873956170247584,-0.03091782088383098,0.010971894800416411
1.2290289402008057,0.9896056103557711,0.14301075447963144,-0.014685712996771941,0.0035855526175168073,-0.009082392789423466,0.004244212061166763,0.9626450617797673,0.2868612954993294,-0.031378856531711366,0.011778568541857118
1.2717639207839966,0.9896979117596624,0.14234152859845478,-0.014920804114130916,0.003767828355682318,-0.004800064489245415,-0.00014830564032308757,0.9611758231185377,0.2855005650804914,-0.03190343268415755,0.012199854695925194
1.4113500118255615,0.989846268334593,0.14074794621729225,-0.019288119920588476,0.004730302200448717,0.013375537469983101,0.0001359970192424953,0.9281975030899048,0.28218529993414077,-0.04115497603799381,0.015403891405955532
1.4451329708099365,0.9897239473470345,0.14068909193176746,-0.025029549051239403,0.005146735975201861,0.0015462767332792282,-0.006693769246339798,0.9060966745018959,0.2819499019375185,-0.053114074357889104,0.017939744476928397
1.476868987083435,0.9896565814647992,0.1391938473814736,-0.03412173081593369,0.006370233822521388,0.014033107087016106,-0.007677309215068817,0.9466579463332891,0.2786661377322646,-0.07215466023849926,0.02299685128998642
1.5317649841308594,0.989479060689693,0.13736090001496865,-0.04470831283611368,0.008024025127386864,0.00509773101657629,-0.008491967804729939,0.959306314936839,0.27455017584147684,-0.09434853938467384,0.02926150075149862
1.5610239505767822,0.9890925007611346,0.13568019500585954,-0.056458368046124786,0.009967940564051364,0.0002757651382125914,-0.015182060189545155,0.9470298727974296,0.27056401912339373,-0.11898916805863925,0.036369845223512574
1.6052910089492798,0.9885040526239416,0.13398897540417457,-0.06895959684055528,0.012296671292989033,0.01447727344930172,0.0026481933891773224,0.9529275421518832,0.26633905345212044,-0.14524215246380784,0.04436871270828555
1.675130009651184,0.9870995884649794,0.12902574134346342,-0.09358673646279764,0.015108495118999851,0.017430011183023453,0.0036320961080491543,0.9484287373488769,0.2546374883615945,-0.1961999969282782,0.05580484629286481
1.7171719074249268,0.9861159582783872,0.12632359035384583,-0.10671907830555002,0.015123475796172318,0.021484650671482086,-0.0015524583868682384,0.9336918294429779,0.24845994694179527,-0.22292653286082054,0.0586219616464139
1.746870994567871,0.9846515980346412,0.1243064247891145,-0.1216981538996489,0.014096791847895394,0.02565670572221279,-0.0016082816291600466,0.921626403927803,0.24377315306530592,-0.2532727355949841,0.05981982005700897
1.802846908569336,0.982549999364327,0.12273146509389579,-0.13924775649632493,0.011937278417253719,0.043637607246637344,0.0021948302164673805,0.9221860328689218,0.24015699986043193,-0.28873280672009005,0.05937604373450725
1.8303779363632202,0.9800445140444702,0.1204935935633301,-0.15781283880386254,0.009442400479170235,0.0403432734310627,0.0032781180925667286,0.9133959715254605,0.235364968038953,-0.3261911948093165,0.058174636554857294
1.8852109909057617,0.9771023786947756,0.11777041396861408,-0.17706636433832026,0.006957361875419469,0.02550242282450199,0.0004956538323312998,0.9133091429248452,0.22969821342531221,-0.3650974136011421,0.05682473469581306
1.951673984527588,0.9692504395045631,0.11408875238579012,-0.21796831166762465,0.005206250665694736,0.011869638226926327,0.007585057057440281,0.89003617875278,0.22067832806275128,-0.4492062243658565,0.061353202290189736
2.013435959815979,0.964260517604345,0.11315807910108196,-0.23950641866273661,0.005791970139141265,-0.002982381032779813,0.011373860761523247,0.8644504523836076,0.21715601626235284,-0.4942191340476068,0.06699651054062991
2.0514779090881348,0.9584926556881566,0.11288294508676407,-0.2617295763032462,0.0068404800412367045,-0.018384814262390137,-0.006862835958600044,0.8385769613087177,0.21445427462645789,-0.5410952643008285,0.0739628750990048
2.080150008201599,0.951829268156462,0.11173012688735222,-0.28537644461301087,0.009878444178610585,-0.0005509719485417008,0.004169309511780739,0.8232214041054249,0.20856668442761175,-0.5914310647536342,0.08450517697489197
2.1110739707946777,0.9445509620162184,0.10936545269159853,-0.3093498970805939,0.012855940292437827,0.002867358038201928,0.043874986469745636,0.8079343345016241,0.19997876546242332,-0.6424340173686985,0.09395851562458751
2.2137969732284546,0.929259400099163,0.10623236335709925,-0.35358294257998,0.013065077728240258,-0.018925301730632782,0.02344050444662571,0.7969725802540779,0.1893246620499244,-0.7368017205735906,0.10138774811097671
2.2787699699401855,0.9171956043757141,0.11013985656985341,-0.3826918489792664,0.012973537504947447,-0.030232800170779228,0.005114872008562088,0.7480732873082161,0.19331159167915457,-0.8012735332186633,0.11037346568897226
